TE,TI,TR,RESISTOR,VENTOINHA,DATA,HORA,PID
24.290001,48.855469,71.000000,100,0,22/3/2021,10:39:32,100
24.309999,48.855469,71.000000,100,0,22/3/2021,10:39:34,100
24.320000,49.403320,71.000000,100,0,22/3/2021,10:39:36,100
24.320000,48.887695,71.000000,100,0,22/3/2021,10:39:38,100
24.320000,48.791016,71.000000,100,0,22/3/2021,10:39:40,100
24.309999,47.018555,71.000000,100,0,22/3/2021,10:39:42,100
24.309999,47.469727,71.000000,100,0,22/3/2021,10:39:44,100
24.320000,47.501953,71.000000,100,0,22/3/2021,10:39:46,100
24.320000,47.663086,71.000000,100,0,22/3/2021,10:39:48,100
24.309999,48.468750,71.000000,100,0,22/3/2021,10:39:50,100
24.320000,49.661133,71.000000,100,0,22/3/2021,10:39:52,100
24.320000,48.565430,71.000000,100,0,22/3/2021,10:39:54,100
24.320000,48.758789,71.000000,100,0,22/3/2021,10:39:56,100
24.309999,49.016602,71.000000,100,0,22/3/2021,10:39:58,100
24.280001,49.145508,71.000000,100,0,22/3/2021,10:40:00,100
24.250000,48.855469,71.000000,100,0,22/3/2021,10:40:02,100
24.240000,50.305664,71.000000,100,0,22/3/2021,10:40:04,100
24.240000,50.080078,71.000000,100,0,22/3/2021,10:40:06,100
24.240000,49.854492,71.000000,100,0,22/3/2021,10:40:08,100
24.250000,50.402344,71.000000,100,0,22/3/2021,10:40:10,100
24.219999,50.434570,71.000000,100,0,22/3/2021,10:40:12,100
24.219999,49.886719,71.000000,100,0,22/3/2021,10:40:14,100
24.240000,50.015625,71.000000,100,0,22/3/2021,10:40:16,100
24.240000,49.693359,71.000000,100,0,22/3/2021,10:40:18,100
24.250000,49.177734,71.000000,100,0,22/3/2021,10:40:20,100
24.250000,49.435547,71.000000,100,0,22/3/2021,10:40:22,100
24.280001,49.693359,71.000000,100,0,22/3/2021,10:40:24,100
24.280001,49.886719,71.000000,100,0,22/3/2021,10:40:26,100
24.280001,50.208984,71.000000,100,0,22/3/2021,10:40:28,100
24.309999,50.370117,71.000000,100,0,22/3/2021,10:40:30,100
24.299999,49.854492,71.000000,100,0,22/3/2021,10:40:32,100
24.309999,50.208984,71.000000,100,0,22/3/2021,10:40:34,100
24.299999,50.370117,71.000000,100,0,22/3/2021,10:40:36,100
24.320000,50.756836,71.000000,100,0,22/3/2021,10:40:38,100
24.320000,50.950195,71.000000,100,0,22/3/2021,10:40:40,100
24.340000,50.950195,71.000000,100,0,22/3/2021,10:40:42,100
24.330000,51.659180,71.000000,100,0,22/3/2021,10:40:44,100
24.340000,51.820312,71.000000,100,0,22/3/2021,10:40:46,100
24.350000,52.464844,71.000000,100,0,22/3/2021,10:40:48,100
24.360001,51.336914,71.000000,100,0,22/3/2021,10:40:50,100
24.350000,52.078125,71.000000,100,0,22/3/2021,10:40:52,100
24.340000,52.368164,71.000000,100,0,22/3/2021,10:40:54,100
24.340000,52.045898,71.000000,100,0,22/3/2021,10:40:56,100
24.350000,51.788086,71.000000,100,0,22/3/2021,10:40:58,100
24.350000,52.948242,71.000000,100,0,22/3/2021,10:41:00,100
24.350000,52.722656,71.000000,100,0,22/3/2021,10:41:02,100
24.340000,50.627930,71.000000,100,0,22/3/2021,10:41:04,100
24.309999,51.014648,71.000000,100,0,22/3/2021,10:41:06,100
24.230000,50.917969,71.000000,100,0,22/3/2021,10:41:08,100
24.240000,51.208008,71.000000,100,0,22/3/2021,10:41:10,100
24.260000,51.788086,71.000000,100,0,22/3/2021,10:41:12,100
24.250000,54.108398,71.000000,100,0,22/3/2021,10:41:14,100
24.270000,53.753906,71.000000,100,0,22/3/2021,10:41:16,100
24.260000,54.172852,71.000000,100,0,22/3/2021,10:41:18,100
24.280001,54.269531,71.000000,100,0,22/3/2021,10:41:20,100
24.270000,54.011719,71.000000,100,0,22/3/2021,10:41:22,100
24.290001,54.462891,71.000000,100,0,22/3/2021,10:41:24,100
24.299999,55.461914,71.000000,100,0,22/3/2021,10:41:26,100
24.309999,56.009766,71.000000,100,0,22/3/2021,10:41:28,100
24.320000,56.396484,71.000000,100,0,22/3/2021,10:41:30,100
24.320000,56.944336,39.000000,0,100,22/3/2021,10:41:32,-100
24.320000,56.525391,39.000000,0,38,22/3/2021,10:41:34,-38
24.309999,56.203125,39.000000,0,72,22/3/2021,10:41:36,-72
24.309999,55.590820,39.000000,0,100,22/3/2021,10:41:38,-100
24.320000,55.623047,39.000000,0,100,22/3/2021,10:41:40,-100
24.330000,54.881836,39.000000,0,100,22/3/2021,10:41:42,-100
24.330000,56.106445,39.000000,0,100,22/3/2021,10:41:44,-100
24.330000,56.396484,39.000000,0,100,22/3/2021,10:41:46,-100
24.320000,56.493164,39.000000,0,100,22/3/2021,10:41:48,-100
24.290001,55.719727,39.000000,0,100,22/3/2021,10:41:50,-100
24.250000,55.719727,39.000000,0,100,22/3/2021,10:41:52,-100
24.250000,55.687500,39.000000,0,100,22/3/2021,10:41:54,-100
24.219999,53.915039,39.000000,0,100,22/3/2021,10:41:56,-100
24.240000,53.367188,39.000000,0,100,22/3/2021,10:41:58,-100
24.230000,52.207031,39.000000,0,100,22/3/2021,10:42:00,-100
24.250000,52.497070,39.000000,0,100,22/3/2021,10:42:02,-100
24.219999,53.141602,39.000000,0,100,22/3/2021,10:42:04,-100
24.209999,53.560547,39.000000,0,100,22/3/2021,10:42:06,-100
24.230000,53.592773,39.000000,0,100,22/3/2021,10:42:08,-100
24.240000,53.882812,39.000000,0,100,22/3/2021,10:42:10,-100
24.240000,53.431641,39.000000,0,100,22/3/2021,10:42:12,-100
24.250000,52.497070,39.000000,0,100,22/3/2021,10:42:14,-100
24.260000,51.755859,39.000000,0,100,22/3/2021,10:42:16,-100
24.270000,51.272461,39.000000,0,100,22/3/2021,10:42:18,-100
24.270000,50.917969,39.000000,0,100,22/3/2021,10:42:20,-100
24.280001,49.500000,39.000000,0,100,22/3/2021,10:42:22,-100
24.270000,49.209961,39.000000,0,100,22/3/2021,10:42:24,-100
24.270000,49.016602,39.000000,0,100,22/3/2021,10:42:26,-100
24.280001,48.823242,39.000000,0,100,22/3/2021,10:42:28,-100
24.280001,49.435547,39.000000,0,100,22/3/2021,10:42:30,-100
24.270000,50.627930,39.000000,0,100,22/3/2021,10:42:32,-100
24.280001,50.047852,39.000000,0,100,22/3/2021,10:42:34,-100
24.270000,50.015625,39.000000,0,100,22/3/2021,10:42:36,-100
24.250000,49.113281,39.000000,0,100,22/3/2021,10:42:38,-100
24.240000,47.663086,39.000000,0,100,22/3/2021,10:42:40,-100
24.230000,47.373047,39.000000,0,100,22/3/2021,10:42:42,-100
24.240000,46.599609,39.000000,0,100,22/3/2021,10:42:44,-100
24.209999,46.180664,39.000000,0,100,22/3/2021,10:42:46,-100
24.200001,46.116211,39.000000,0,100,22/3/2021,10:42:48,-100
24.190001,46.696289,39.000000,0,100,22/3/2021,10:42:50,-100
24.180000,46.180664,39.000000,0,100,22/3/2021,10:42:52,-100
24.170000,46.567383,39.000000,0,100,22/3/2021,10:42:54,-100
24.150000,46.502930,39.000000,0,100,22/3/2021,10:42:56,-100
24.139999,46.535156,39.000000,0,100,22/3/2021,10:42:58,-100
24.150000,46.535156,39.000000,0,100,22/3/2021,10:43:00,-100
24.150000,45.278320,39.000000,0,100,22/3/2021,10:43:02,-100
24.150000,43.731445,39.000000,0,100,22/3/2021,10:43:04,-100
24.160000,43.828125,39.000000,0,100,22/3/2021,10:43:06,-100
24.170000,43.344727,39.000000,0,100,22/3/2021,10:43:08,-100
24.170000,43.924805,39.000000,0,100,22/3/2021,10:43:10,-100
24.180000,44.247070,39.000000,0,100,22/3/2021,10:43:12,-100
24.190001,44.956055,39.000000,0,100,22/3/2021,10:43:14,-100
24.200001,44.247070,39.000000,0,100,22/3/2021,10:43:16,-100
