TE,TI,TR,PID,DATA,HORA
24.820000,37.028320,67.000000,100,20/3/2021, 21:20:56
24.820000,36.093750,67.000000,100,20/3/2021, 21:20:57
24.830000,36.093750,67.000000,100,20/3/2021, 21:20:58
24.840000,36.287109,67.000000,100,20/3/2021, 21:20:59
24.830000,36.287109,67.000000,100,20/3/2021, 21:21:00
24.820000,35.964844,67.000000,100,20/3/2021, 21:21:01
24.830000,35.964844,67.000000,100,20/3/2021, 21:21:02
24.820000,35.513672,67.000000,100,20/3/2021, 21:21:03
24.830000,35.513672,67.000000,100,20/3/2021, 21:21:04
24.830000,35.900391,67.000000,100,20/3/2021, 21:21:05
24.850000,35.900391,67.000000,100,20/3/2021, 21:21:06
24.830000,35.416992,67.000000,100,20/3/2021, 21:21:07
24.830000,35.416992,67.000000,100,20/3/2021, 21:21:08
24.809999,35.384766,67.000000,100,20/3/2021, 21:21:09
24.799999,35.384766,67.000000,100,20/3/2021, 21:21:10
24.830000,35.384766,45.000000,38,20/3/2021, 21:21:14
24.820000,34.514648,45.000000,100,20/3/2021, 21:21:15
24.830000,34.514648,45.000000,100,20/3/2021, 21:21:16
24.830000,35.416992,45.000000,100,20/3/2021, 21:21:17
24.820000,35.416992,45.000000,100,20/3/2021, 21:21:18
24.830000,35.997070,45.000000,100,20/3/2021, 21:21:19
24.830000,35.997070,45.000000,100,20/3/2021, 21:21:20
24.809999,36.448242,45.000000,100,20/3/2021, 21:21:21
24.809999,36.448242,45.000000,100,20/3/2021, 21:21:22
24.830000,38.414062,45.000000,100,20/3/2021, 21:21:23
24.830000,38.414062,45.000000,100,20/3/2021, 21:21:24
24.840000,39.284180,45.000000,100,20/3/2021, 21:21:25
24.830000,39.284180,45.000000,100,20/3/2021, 21:21:26
24.840000,39.251953,45.000000,100,20/3/2021, 21:21:27
24.830000,39.251953,45.000000,100,20/3/2021, 21:21:28
24.809999,38.639648,45.000000,100,20/3/2021, 21:21:29
24.809999,38.639648,45.000000,100,20/3/2021, 21:21:30
24.820000,38.252930,45.000000,100,20/3/2021, 21:21:31
24.820000,38.252930,45.000000,100,20/3/2021, 21:21:32
24.840000,38.252930,45.000000,100,20/3/2021, 21:21:33
24.830000,36.544922,45.000000,100,20/3/2021, 21:21:34
24.840000,36.544922,45.000000,100,20/3/2021, 21:21:35
24.840000,36.093750,45.000000,100,20/3/2021, 21:21:36
24.840000,36.093750,45.000000,100,20/3/2021, 21:21:37
24.840000,36.319336,45.000000,100,20/3/2021, 21:21:38
24.850000,36.319336,45.000000,100,20/3/2021, 21:21:39
24.850000,36.770508,45.000000,100,20/3/2021, 21:21:40
24.850000,36.770508,45.000000,100,20/3/2021, 21:21:41
24.850000,36.770508,45.000000,100,20/3/2021, 21:21:42
24.850000,36.770508,45.000000,100,20/3/2021, 21:21:43
24.860001,36.319336,45.000000,100,20/3/2021, 21:21:44
24.850000,36.319336,45.000000,100,20/3/2021, 21:21:45
24.850000,36.834961,45.000000,100,20/3/2021, 21:21:46
24.850000,36.834961,45.000000,100,20/3/2021, 21:21:47
24.860001,36.609375,45.000000,100,20/3/2021, 21:21:48
24.850000,36.609375,45.000000,100,20/3/2021, 21:21:49
24.860001,36.738281,45.000000,100,20/3/2021, 21:21:50
24.860001,36.738281,45.000000,100,20/3/2021, 21:21:51
24.850000,37.253906,45.000000,100,20/3/2021, 21:21:52
24.860001,37.253906,45.000000,100,20/3/2021, 21:21:53
24.850000,37.415039,45.000000,100,20/3/2021, 21:21:54
24.860001,37.415039,45.000000,100,20/3/2021, 21:21:55
24.860001,36.899414,45.000000,100,20/3/2021, 21:21:56
24.850000,36.899414,45.000000,100,20/3/2021, 21:21:57
24.860001,37.769531,45.000000,100,20/3/2021, 21:21:58
24.850000,37.769531,45.000000,100,20/3/2021, 21:21:59
24.850000,37.769531,45.000000,100,20/3/2021, 21:22:00
24.860001,37.769531,45.000000,100,20/3/2021, 21:22:01
24.860001,38.188477,45.000000,100,20/3/2021, 21:22:02
24.870001,38.188477,45.000000,100,20/3/2021, 21:22:03
24.870001,39.864258,45.000000,100,20/3/2021, 21:22:04
24.870001,39.864258,45.000000,100,20/3/2021, 21:22:05
24.870001,40.218750,45.000000,100,20/3/2021, 21:22:06
24.879999,40.218750,45.000000,100,20/3/2021, 21:22:07
24.870001,40.444336,45.000000,100,20/3/2021, 21:22:08
24.860001,40.444336,45.000000,100,20/3/2021, 21:22:09
24.879999,40.959961,45.000000,100,20/3/2021, 21:22:10
24.879999,40.959961,45.000000,100,20/3/2021, 21:22:11
